,Title,Image url,Description,Page url,Item number,Page number
0,Mother and Child Christ,https://csmvs.in/wp-content/uploads/2024/04/78.17.jpg,"Mother and Child Christ
78.17
DESCRIPTION
Religious orders that 1st settled in the Portuguese territories in India – the Franciscans, Dominicans and later, Jesuits – promoted the veneration of Virgin Mary. The Goans also developed a special regard for Mary. She is very popular in her form of holding child Jesus in her hand. She is believed to have saved the people of Goa from many calamities at different times.
COLLECTION
Indian Decorative Art
ARTIST
NA
OBJECT TYPE
Figurine
MATERIAL
Wood
SCHOOLS/CULTURE/PERIOD
Indo-Portuguese
TECHNIQUE
--
DATE
17th century CE
LOCATION
Goa",https://csmvs.in/collections/mother-and-child-christ/,1,1
1,Our Lady of Rosary,https://csmvs.in/wp-content/uploads/2024/04/96.10-3.jpg,"Our Lady of Rosary
96.10/3
DESCRIPTION
CSMVS has a significant number of exhibits that highlight this unique story of Indo- Portuguese Christian Art. This art encompasses statues; in wood and ivory which were used in Churches and homes in Portuguese territories, not only in India but also Latin America, and Spain and Italy.
Gift of Mrs. Theresa Perreira
COLLECTION
Indian Decorative Art
ARTIST
NA
OBJECT TYPE
Figurine
MATERIAL
Ivory
SCHOOLS/CULTURE/PERIOD
Indo-Portuguese
TECHNIQUE
--
DATE
19th century CE
LOCATION
Goa",https://csmvs.in/collections/our-lady-2/,2,1
2,Our Lady of Scepular,https://csmvs.in/wp-content/uploads/2024/04/96.10-2.jpg,"Our Lady of Scepular
96.10/2
DESCRIPTION
Gift of Mrs. Theresa Perreira
COLLECTION
Indian Decorative Art
ARTIST
NA
OBJECT TYPE
Figurine
MATERIAL
Ivory
SCHOOLS/CULTURE/PERIOD
Indo-Portuguese
TECHNIQUE
--
DATE
19th century CE
LOCATION
Goa",https://csmvs.in/collections/our-lady/,3,1
3,Mary on throne with child Jesus,https://csmvs.in/wp-content/uploads/2024/04/78.16.jpg,"Mary on throne with child Jesus
78.16
DESCRIPTION
The Council of Trent gave the mandate for veneration of the Virgin Mary; therefore leading to a demand for large number of Mary statues in Europe and Portuguese India. Countless ivory images of Mary arrived in Lisbon, the European entry port for products from the Orient; created in the Portuguese territories, usually based on 17th century European models copied from prints.
COLLECTION
Indian Decorative Art
ARTIST
NA
OBJECT TYPE
Figurine
MATERIAL
Silver gilt on wood
SCHOOLS/CULTURE/PERIOD
Indo-Portuguese
TECHNIQUE
--
DATE
17th century CE
LOCATION
Goa",https://csmvs.in/collections/mary-on-throne-with-child-jesus/,4,1
4,Immaculate Conception of Mary,https://csmvs.in/wp-content/uploads/2024/04/96.10-1.jpg,"Immaculate Conception of Mary
96.10/1
DESCRIPTION
The Portuguese King Joao IV declared the Virgin of the Immaculate Conception as the benefactress of the Kingdom from 1640 CE; leading to unrestrained devotion to Our Lady of the Conception throughout Portuguese territories, giving rise to the fabrication of a large number of wooden and ivory images.
These images took on a more baroque appearance with heavy drapery and flowing clothing, though the
inclination of the body is not seen in all of them. The work of local artists is often given away by the Indian features, the decoration of tunic and clock, the style of their plinths. Floral decorations of the plinths are a very Indo-Portuguese feature.
COLLECTION
Indian Decorative Art
ARTIST
NA
OBJECT TYPE
Figurine
MATERIAL
Ivory
SCHOOLS/CULTURE/PERIOD
Indo-Portuguese
TECHNIQUE
--
DATE
19th century
LOCATION
Goa",https://csmvs.in/collections/immaculate-conception-of-mary/,5,1
5,Mary with child Christ,https://csmvs.in/wp-content/uploads/2024/04/L-82.2-106.jpg,"Mary with child Christ
L 82.2/106
DESCRIPTION
Veneration of Mary, the Mother of Jesus became increasingly prevalent during the late Middle Ages with
a multiplicity of images later emerging. The Goans also developed a special regard for Mary. She is very
popular in her form of holding child Jesus in her hand. She is believed to have saved the people of Goa from many calamities at different times.
COLLECTION
Indian Decorative Art
ARTIST
NA
OBJECT TYPE
Figurine
MATERIAL
Polychrome Wood
SCHOOLS/CULTURE/PERIOD
Indo-Portuguese
TECHNIQUE
--
DATE
18th century CE
LOCATION
Goa
DIMENSION
--",https://csmvs.in/collections/mary-with-child-christ-2/,6,1
6,Mary with child Christ,https://csmvs.in/wp-content/uploads/2024/04/L-82.2-105.jpg,"Mary with child Christ
L 82.2/105
DESCRIPTION
Veneration of Mary, the Mother of Jesus became increasingly prevalent during the late Middle Ages with
a multiplicity of images later emerging. The Goans also developed a special regard for Mary. She is very
popular in her form of holding child Jesus in her hand. She is believed to have saved the people of Goa from many calamities at different times
COLLECTION
Indian Decorative Art
ARTIST
NA
OBJECT TYPE
Figurine
MATERIAL
Polychrome Wood
SCHOOLS/CULTURE/PERIOD
Indo-Portuguese
TECHNIQUE
--
DATE
18th century CE
LOCATION
Goa
DIMENSION
--",https://csmvs.in/collections/mary-with-child-christ/,7,1
7,Head of St. Mary,https://csmvs.in/wp-content/uploads/2024/04/66.17.jpg,"Head of St. Mary
66.17
DESCRIPTION
Catholic countries of Europe and especially Portugal practised deep regard for Mary. Religious orders that 1st settled in the Portuguese territories in India – the Franciscans, Dominicans and later, Jesuits – promoted the veneration of Virgin Mary. Also the Council of Trent gave the mandate for veneration of the Virgin Mary; therefore leading to a demand for large number of Mary statues in Europe and Portuguese India. Countless ivory images of Mary arrived in Lisbon, the European entry port for products from the Orient; created in the Portuguese territories, usually based on 17th century European models copied from prints.
COLLECTION
Indian Decorative Art
OBJECT TYPE
Figurine
MATERIAL
Ivory
SCHOOLS/CULTURE/PERIOD
Indo Portuguese
TECHNIQUE
--
DATE
Late 16th Century CE
LOCATION
Goa",https://csmvs.in/collections/head-of-st-mary/,8,1
8,Virgin Mary,https://csmvs.in/wp-content/uploads/2024/04/79.10a.jpg,"Virgin Mary
79.10 a
DESCRIPTION
Catholic countries of Europe and especially Portugal practised deep regard for Mary. Religious orders that 1st settled in the Portuguese territories in India – the Franciscans, Dominicans and later, Jesuits – promoted the veneration of Virgin Mary. Also the Council of Trent gave the mandate for veneration of the Virgin Mary; therefore leading to a demand for large number of Mary statues in Europe and Portuguese India. Countless ivory images of Mary arrived in Lisbon, the European entry port for products from the Orient; created in the Portuguese territories, usually based on 17th century European models copied from prints.
Gift of Mrs. Theresa Perreira
COLLECTION
Indian Decorative Art
OBJECT TYPE
Figurine
MATERIAL
Ivory
SCHOOLS/CULTURE/PERIOD
Indo-Portuguese
TECHNIQUE
--
DATE
18th century CE
LOCATION
Goa",https://csmvs.in/collections/virgin-mary/,9,1
9,Crucified Christ,https://csmvs.in/wp-content/uploads/2024/04/74.1.jpg,"Crucified Christ
74.1
DESCRIPTION
Crucifixes became, from 17th century CE onwards, an essential presence on Christian altars, especially in
India. Baroque influence can be seen in the treatment of the loin-cloths, which became highly elaborate,
suspended by a thick cord which barely brings the two ends of the material together
COLLECTION
Indian Decorative Art
OBJECT TYPE
Figurine
MATERIAL
Ivory
SCHOOLS/CULTURE/PERIOD
Indo Portuguese
TECHNIQUE
--
DATE
17th century CE
LOCATION
Goa",https://csmvs.in/collections/crucified-christ-2/,10,1
