Title,Image url,Description,Page url,Item number,Page number,Answer
Mother and Child Christ,https://csmvs.in/wp-content/uploads/2024/04/78.17.jpg,"Mother and Child Christ
78.17
DESCRIPTION
Religious orders that 1st settled in the Portuguese territories in India – the Franciscans, Dominicans and later, Jesuits – promoted the veneration of Virgin Mary. The Goans also developed a special regard for Mary. She is very popular in her form of holding child Jesus in her hand. She is believed to have saved the people of Goa from many calamities at different times.
COLLECTION
Indian Decorative Art
ARTIST
NA
OBJECT TYPE
Figurine
MATERIAL
Wood
SCHOOLS/CULTURE/PERIOD
Indo-Portuguese
TECHNIQUE
--
DATE
17th century CE
LOCATION
Goa",https://csmvs.in/collections/mother-and-child-christ/,1,1,"ChatGPT
ChatGPT
Sure, here are some questions and answers based on the provided information:
Question: Who were the religious orders that settled in Portuguese territories in India and promoted the veneration of Virgin Mary?
Answer: The Franciscans, Dominicans, and later, Jesuits.
Question: What is the significance of Virgin Mary in Goan culture?
Answer: Virgin Mary, especially in her form of holding child Jesus in her hand, is highly revered in Goan culture. She is believed to have saved the people of Goa from many calamities at different times.
Question: What is the object type and material of the ""Mother and Child Christ"" figurine?
Answer: The object type is a figurine, and it is made of wood.
Question: In which century was the ""Mother and Child Christ"" figurine created?
Answer: The figurine dates back to the 17th century CE.
Question: Where is the location associated with this artwork?
Answer: The location is Goa, India.
Question: What cultural or artistic period does this artwork belong to?
Answer: This artwork belongs to the Indo-Portuguese cultural and artistic period.
Question: Do we know the specific artist who created the ""Mother and Child Christ"" figurine?
Answer: No, the artist is unknown (NA).
Question: Why did the Goans develop a special regard for Virgin Mary?
Answer: The Goans developed a special regard for Virgin Mary due to the influence of religious orders like the Franciscans, Dominicans, and Jesuits who promoted her veneration, as well as her perceived role in saving the people of Goa from calamities."
Our Lady of Rosary,https://csmvs.in/wp-content/uploads/2024/04/96.10-3.jpg,"Our Lady of Rosary
96.10/3
DESCRIPTION
CSMVS has a significant number of exhibits that highlight this unique story of Indo- Portuguese Christian Art. This art encompasses statues; in wood and ivory which were used in Churches and homes in Portuguese territories, not only in India but also Latin America, and Spain and Italy.
Gift of Mrs. Theresa Perreira
COLLECTION
Indian Decorative Art
ARTIST
NA
OBJECT TYPE
Figurine
MATERIAL
Ivory
SCHOOLS/CULTURE/PERIOD
Indo-Portuguese
TECHNIQUE
--
DATE
19th century CE
LOCATION
Goa",https://csmvs.in/collections/our-lady-2/,2,1,"ChatGPT
ChatGPT
Certainly! Here are some questions and answers based on the provided information:
Question: What is the significance of Our Lady of Rosary in the context of the provided description?
Answer: Our Lady of Rosary is significant as an example of Indo-Portuguese Christian Art, which includes statues made of wood and ivory used in churches and homes in Portuguese territories, including India, Latin America, Spain, and Italy.
Question: Who donated the Our Lady of Rosary figurine to the CSMVS collection?
Answer: The figurine was gifted by Mrs. Theresa Perreira.
Question: What is the object type and material of the Our Lady of Rosary figurine?
Answer: The object type is a figurine, and it is made of ivory.
Question: When was the Our Lady of Rosary figurine created?
Answer: The figurine dates back to the 19th century CE.
Question: Where is the location associated with this artwork?
Answer: The location is Goa, India.
Question: What cultural or artistic period does this artwork belong to?
Answer: This artwork belongs to the Indo-Portuguese cultural and artistic period.
Question: Do we know the specific artist who created the Our Lady of Rosary figurine?
Answer: No, the artist is unknown (NA).
Question: Apart from India, in which other regions were similar statues used?
Answer: Similar statues were used in Latin America, Spain, and Italy, as mentioned in the description."
Our Lady of Scepular,https://csmvs.in/wp-content/uploads/2024/04/96.10-2.jpg,"Our Lady of Scepular
96.10/2
DESCRIPTION
Gift of Mrs. Theresa Perreira
COLLECTION
Indian Decorative Art
ARTIST
NA
OBJECT TYPE
Figurine
MATERIAL
Ivory
SCHOOLS/CULTURE/PERIOD
Indo-Portuguese
TECHNIQUE
--
DATE
19th century CE
LOCATION
Goa",https://csmvs.in/collections/our-lady/,3,1,"ChatGPT
ChatGPT
Here are some questions and answers based on the provided information:
Question: What is the significance of Our Lady of Scapular in the context of the provided description?
Answer: Our Lady of Scapular is significant as an example of Indo-Portuguese Christian Art, specifically as a figurine made of ivory, which was used in churches and homes in Portuguese territories, including Goa, during the 19th century CE.
Question: Who donated the Our Lady of Scapular figurine to the CSMVS collection?
Answer: The figurine was gifted by Mrs. Theresa Perreira.
Question: What is the object type and material of the Our Lady of Scapular figurine?
Answer: The object type is a figurine, and it is made of ivory.
Question: When was the Our Lady of Scapular figurine created?
Answer: The figurine dates back to the 19th century CE.
Question: Where is the location associated with this artwork?
Answer: The location is Goa, India.
Question: What cultural or artistic period does this artwork belong to?
Answer: This artwork belongs to the Indo-Portuguese cultural and artistic period.
Question: Do we know the specific artist who created the Our Lady of Scapular figurine?
Answer: No, the artist is unknown (NA).
Question: What role did similar figurines play in churches and homes in Portuguese territories during the 19th century?
Answer: Similar figurines, including Our Lady of Scapular, were used for religious devotion and decoration in churches and homes in Portuguese territories like Goa during the 19th century."
Mary on throne with child Jesus,https://csmvs.in/wp-content/uploads/2024/04/78.16.jpg,"Mary on throne with child Jesus
78.16
DESCRIPTION
The Council of Trent gave the mandate for veneration of the Virgin Mary; therefore leading to a demand for large number of Mary statues in Europe and Portuguese India. Countless ivory images of Mary arrived in Lisbon, the European entry port for products from the Orient; created in the Portuguese territories, usually based on 17th century European models copied from prints.
COLLECTION
Indian Decorative Art
ARTIST
NA
OBJECT TYPE
Figurine
MATERIAL
Silver gilt on wood
SCHOOLS/CULTURE/PERIOD
Indo-Portuguese
TECHNIQUE
--
DATE
17th century CE
LOCATION
Goa",https://csmvs.in/collections/mary-on-throne-with-child-jesus/,4,1,"ChatGPT
ChatGPT
Here are some questions and answers based on the provided information:
Question: What historical event led to the increased demand for Mary statues in Europe and Portuguese India?
Answer: The Council of Trent gave the mandate for the veneration of the Virgin Mary, leading to a surge in demand for Mary statues.
Question: Where were countless ivory images of Mary brought into before being transported to Portuguese India?
Answer: Countless ivory images of Mary arrived in Lisbon, the European entry port for products from the Orient.
Question: What material was used to create the ""Mary on throne with child Jesus"" figurine?
Answer: The figurine is made of silver gilt on wood.
Question: When was the ""Mary on throne with child Jesus"" figurine created?
Answer: The figurine dates back to the 17th century CE.
Question: Where is the location associated with this artwork?
Answer: The location is Goa, India.
Question: What cultural or artistic period does this artwork belong to?
Answer: This artwork belongs to the Indo-Portuguese cultural and artistic period.
Question: How were the Mary statues in Portuguese India typically created?
Answer: They were usually based on 17th-century European models copied from prints.
Question: Do we know the specific artist who created the ""Mary on throne with child Jesus"" figurine?
Answer: No, the artist is unknown (NA).
Question: What significance did the Council of Trent have in relation to the veneration of the Virgin Mary?
Answer: The Council of Trent mandated the veneration of the Virgin Mary, leading to a significant increase in the demand for Mary statues in Europe and Portuguese India."
Immaculate Conception of Mary,https://csmvs.in/wp-content/uploads/2024/04/96.10-1.jpg,"Immaculate Conception of Mary
96.10/1
DESCRIPTION
The Portuguese King Joao IV declared the Virgin of the Immaculate Conception as the benefactress of the Kingdom from 1640 CE; leading to unrestrained devotion to Our Lady of the Conception throughout Portuguese territories, giving rise to the fabrication of a large number of wooden and ivory images.
These images took on a more baroque appearance with heavy drapery and flowing clothing, though the
inclination of the body is not seen in all of them. The work of local artists is often given away by the Indian features, the decoration of tunic and clock, the style of their plinths. Floral decorations of the plinths are a very Indo-Portuguese feature.
COLLECTION
Indian Decorative Art
ARTIST
NA
OBJECT TYPE
Figurine
MATERIAL
Ivory
SCHOOLS/CULTURE/PERIOD
Indo-Portuguese
TECHNIQUE
--
DATE
19th century
LOCATION
Goa",https://csmvs.in/collections/immaculate-conception-of-mary/,5,1,"ChatGPT
ChatGPT
Here are some questions and answers based on the provided information:
Question: What declaration by the Portuguese King Joao IV led to increased devotion to Our Lady of the Immaculate Conception?
Answer: King Joao IV declared the Virgin of the Immaculate Conception as the benefactress of the Kingdom in 1640 CE.
Question: What effect did King Joao IV's declaration have on Portuguese territories?
Answer: The declaration led to unrestrained devotion to Our Lady of the Conception throughout Portuguese territories.
Question: How did the devotion to Our Lady of the Immaculate Conception influence the production of religious images in Portuguese territories?
Answer: It led to the fabrication of a large number of wooden and ivory images, particularly those of Our Lady of the Conception.
Question: What stylistic characteristics are often seen in the wooden and ivory images of Our Lady of the Immaculate Conception?
Answer: These images often exhibit a baroque appearance with heavy drapery and flowing clothing, although not all of them display the inclination of the body.
Question: How can one identify the work of local artists in these images?
Answer: The work of local artists is often identified by Indian features, the decoration of tunic and cloak, and the style of their plinths.
Question: What is a distinct Indo-Portuguese feature found in the floral decorations of the plinths?
Answer: Floral decorations of the plinths are noted as a very Indo-Portuguese feature.
Question: What material was commonly used for creating these images?
Answer: Ivory was a common material used for creating these figurines.
Question:"
Mary with child Christ,https://csmvs.in/wp-content/uploads/2024/04/L-82.2-106.jpg,"Mary with child Christ
L 82.2/106
DESCRIPTION
Veneration of Mary, the Mother of Jesus became increasingly prevalent during the late Middle Ages with
a multiplicity of images later emerging. The Goans also developed a special regard for Mary. She is very
popular in her form of holding child Jesus in her hand. She is believed to have saved the people of Goa from many calamities at different times.
COLLECTION
Indian Decorative Art
ARTIST
NA
OBJECT TYPE
Figurine
MATERIAL
Polychrome Wood
SCHOOLS/CULTURE/PERIOD
Indo-Portuguese
TECHNIQUE
--
DATE
18th century CE
LOCATION
Goa
DIMENSION
--",https://csmvs.in/collections/mary-with-child-christ-2/,6,1,"ChatGPT
ChatGPT
Here are some questions and answers based on the provided information:
Question: What historical period saw an increase in the veneration of Mary, the Mother of Jesus?
Answer: The late Middle Ages saw an increase in the veneration of Mary, the Mother of Jesus.
Question: What is significant about the Goan regard for Mary?
Answer: The Goans developed a special regard for Mary, particularly in her form of holding child Jesus in her hand. She is believed to have saved the people of Goa from many calamities at different times.
Question: What material was used to create the ""Mary with child Christ"" figurine?
Answer: The figurine is made of polychrome wood.
Question: When was the ""Mary with child Christ"" figurine created?
Answer: The figurine dates back to the 18th century CE.
Question: Where is the location associated with this artwork?
Answer: The location is Goa, India.
Question: What cultural or artistic period does this artwork belong to?
Answer: This artwork belongs to the Indo-Portuguese cultural and artistic period.
Question: Do we know the specific artist who created the ""Mary with child Christ"" figurine?
Answer: No, the artist is unknown (NA).
Question: What technique was used in creating this figurine?
Answer: The technique used is not specified (TECHNIQUE--).
Question: What is the object type of this artwork?
Answer: The object type is a figurine.
Question: Can you describe the appearance of the figurine?
Answer: The figurine depicts Mary holding child Jesus in her hand and is made of polychrome wood."
Mary with child Christ,https://csmvs.in/wp-content/uploads/2024/04/L-82.2-105.jpg,"Mary with child Christ
L 82.2/105
DESCRIPTION
Veneration of Mary, the Mother of Jesus became increasingly prevalent during the late Middle Ages with
a multiplicity of images later emerging. The Goans also developed a special regard for Mary. She is very
popular in her form of holding child Jesus in her hand. She is believed to have saved the people of Goa from many calamities at different times
COLLECTION
Indian Decorative Art
ARTIST
NA
OBJECT TYPE
Figurine
MATERIAL
Polychrome Wood
SCHOOLS/CULTURE/PERIOD
Indo-Portuguese
TECHNIQUE
--
DATE
18th century CE
LOCATION
Goa
DIMENSION
--",https://csmvs.in/collections/mary-with-child-christ/,7,1,"ChatGPT
ChatGPT
Here are some questions and answers based on the provided information:
Question: During which historical period did veneration of Mary, the Mother of Jesus, become increasingly prevalent?
Answer: Veneration of Mary became increasingly prevalent during the late Middle Ages.
Question: What is significant about the Goan regard for Mary?
Answer: The Goans developed a special regard for Mary, particularly in her form of holding child Jesus in her hand. She is believed to have saved the people of Goa from many calamities at different times.
Question: What material was used to create the ""Mary with child Christ"" figurine?
Answer: The figurine is made of polychrome wood.
Question: When was the ""Mary with child Christ"" figurine created?
Answer: The figurine dates back to the 18th century CE.
Question: Where is the location associated with this artwork?
Answer: The location is Goa, India.
Question: What cultural or artistic period does this artwork belong to?
Answer: This artwork belongs to the Indo-Portuguese cultural and artistic period.
Question: Do we know the specific artist who created the ""Mary with child Christ"" figurine?
Answer: No, the artist is unknown (NA).
Question: What technique was used in creating this figurine?
Answer: The technique used is not specified (TECHNIQUE--).
Question: What is the object type of this artwork?
Answer: The object type is a figurine.
Question: Can you describe the appearance of the figurine?
Answer: The figurine depicts Mary holding child Jesus in her hand and is made of polychrome wood."
Head of St. Mary,https://csmvs.in/wp-content/uploads/2024/04/66.17.jpg,"Head of St. Mary
66.17
DESCRIPTION
Catholic countries of Europe and especially Portugal practised deep regard for Mary. Religious orders that 1st settled in the Portuguese territories in India – the Franciscans, Dominicans and later, Jesuits – promoted the veneration of Virgin Mary. Also the Council of Trent gave the mandate for veneration of the Virgin Mary; therefore leading to a demand for large number of Mary statues in Europe and Portuguese India. Countless ivory images of Mary arrived in Lisbon, the European entry port for products from the Orient; created in the Portuguese territories, usually based on 17th century European models copied from prints.
COLLECTION
Indian Decorative Art
OBJECT TYPE
Figurine
MATERIAL
Ivory
SCHOOLS/CULTURE/PERIOD
Indo Portuguese
TECHNIQUE
--
DATE
Late 16th Century CE
LOCATION
Goa",https://csmvs.in/collections/head-of-st-mary/,8,1,"ChatGPT
ChatGPT
Certainly! Here are some questions and answers based on the provided information:
Question: What religious orders settled in Portuguese territories in India and promoted the veneration of Virgin Mary?
Answer: The Franciscans, Dominicans, and later, Jesuits, were the religious orders that first settled in Portuguese territories in India and promoted the veneration of Virgin Mary.
Question: What historical event led to an increased demand for Mary statues in Europe and Portuguese India?
Answer: The Council of Trent gave the mandate for the veneration of the Virgin Mary, leading to a demand for a large number of Mary statues.
Question: Where did countless ivory images of Mary arrive before being transported to Portuguese India?
Answer: Countless ivory images of Mary arrived in Lisbon, the European entry port for products from the Orient.
Question: What material was used to create the ""Head of St. Mary"" figurine?
Answer: The figurine is made of ivory.
Question: When was the ""Head of St. Mary"" figurine created?
Answer: The figurine dates back to the late 16th century CE.
Question: Where is the location associated with this artwork?
Answer: The location is Goa, India.
Question: What cultural or artistic period does this artwork belong to?
Answer: This artwork belongs to the Indo-Portuguese cultural and artistic period.
Question: What is the object type of this artwork?
Answer: The object type is a figurine.
Question: What technique was used in creating this figurine?
Answer: The technique used is not specified (TECHNIQUE--).
Question: How did the religious orders and historical events mentioned influence the creation and distribution of religious artwork like the ""Head of St. Mary""?"
Virgin Mary,https://csmvs.in/wp-content/uploads/2024/04/79.10a.jpg,"Virgin Mary
79.10 a
DESCRIPTION
Catholic countries of Europe and especially Portugal practised deep regard for Mary. Religious orders that 1st settled in the Portuguese territories in India – the Franciscans, Dominicans and later, Jesuits – promoted the veneration of Virgin Mary. Also the Council of Trent gave the mandate for veneration of the Virgin Mary; therefore leading to a demand for large number of Mary statues in Europe and Portuguese India. Countless ivory images of Mary arrived in Lisbon, the European entry port for products from the Orient; created in the Portuguese territories, usually based on 17th century European models copied from prints.
Gift of Mrs. Theresa Perreira
COLLECTION
Indian Decorative Art
OBJECT TYPE
Figurine
MATERIAL
Ivory
SCHOOLS/CULTURE/PERIOD
Indo-Portuguese
TECHNIQUE
--
DATE
18th century CE
LOCATION
Goa",https://csmvs.in/collections/virgin-mary/,9,1,"ChatGPT
ChatGPT
Certainly! Here are some questions and answers based on the provided information:
Question: Which religious orders first settled in the Portuguese territories in India and promoted the veneration of Virgin Mary?
Answer: The Franciscans, Dominicans, and later, Jesuits, were the religious orders that first settled in the Portuguese territories in India and promoted the veneration of Virgin Mary.
Question: What historical event led to an increased demand for Mary statues in Europe and Portuguese India?
Answer: The Council of Trent gave the mandate for the veneration of the Virgin Mary, leading to a demand for a large number of Mary statues.
Question: Where did countless ivory images of Mary arrive before being transported to Portuguese India?
Answer: Countless ivory images of Mary arrived in Lisbon, the European entry port for products from the Orient.
Question: What material was used to create the ""Virgin Mary"" figurine?
Answer: The figurine is made of ivory.
Question: When was the ""Virgin Mary"" figurine created?
Answer: The figurine dates back to the 18th century CE.
Question: Where is the location associated with this artwork?
Answer: The location is Goa, India.
Question: What cultural or artistic period does this artwork belong to?
Answer: This artwork belongs to the Indo-Portuguese cultural and artistic period.
Question: What is the object type of this artwork?
Answer: The object type is a figurine.
Question: What influence did the religious orders and historical events mentioned have on the creation and distribution of religious artwork like the ""Virgin Mary"" figurine?
Answer: The presence and influence of religious orders and historical events such as the Council of Trent led to an increased demand for religious artwork, resulting in the creation and distribution of pieces like the ""Virgin Mary"" figurine throughout Portuguese territories in India.
Question: Who donated the ""Virgin Mary"" figurine to the collection?
Answer: The figurine was gifted by Mrs. Theresa Perreira."
Crucified Christ,https://csmvs.in/wp-content/uploads/2024/04/74.1.jpg,"Crucified Christ
74.1
DESCRIPTION
Crucifixes became, from 17th century CE onwards, an essential presence on Christian altars, especially in
India. Baroque influence can be seen in the treatment of the loin-cloths, which became highly elaborate,
suspended by a thick cord which barely brings the two ends of the material together
COLLECTION
Indian Decorative Art
OBJECT TYPE
Figurine
MATERIAL
Ivory
SCHOOLS/CULTURE/PERIOD
Indo Portuguese
TECHNIQUE
--
DATE
17th century CE
LOCATION
Goa",https://csmvs.in/collections/crucified-christ-2/,10,1,"ChatGPT
ChatGPT
Here are some questions and answers based on the provided information:
Question: When did crucifixes become an essential presence on Christian altars, especially in India?
Answer: Crucifixes became essential from the 17th century CE onwards.
Question: What influence can be observed in the treatment of the loin-cloths of crucifixes from this period?
Answer: Baroque influence can be seen in the treatment of the loin-cloths, which became highly elaborate.
Question: How were the loin-cloths of crucifixes suspended in this period?
Answer: They were suspended by a thick cord, which barely brings the two ends of the material together.
Question: What material was used to create the ""Crucified Christ"" figurine?
Answer: The figurine is made of ivory.
Question: When was the ""Crucified Christ"" figurine created?
Answer: The figurine dates back to the 17th century CE.
Question: Where is the location associated with this artwork?
Answer: The location is Goa, India.
Question: What cultural or artistic period does this artwork belong to?
Answer: This artwork belongs to the Indo-Portuguese cultural and artistic period.
Question: What is the object type of this artwork?
Answer: The object type is a figurine.
Question: Can you describe the appearance of the figurine?
Answer: The figurine depicts the Crucified Christ and is made of ivory. It likely displays elaborate loin-cloths suspended by a thick cord, reflecting Baroque influence."
